id;uri;artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;this_timesignature
0YJ9FWWHn9EfnN0lHwbzvV;spotify:track:0YJ9FWWHn9EfnN0lHwbzvV;Radiohead;Jigsaw Falling Into Place;0.462;0.832;11;-6.085;0;0.0479;0.108;0.00416;0.0741;0.807;165.653;248893;4
5Qv2Nby1xTr9pQyjkrc94J;spotify:track:5Qv2Nby1xTr9pQyjkrc94J;Radiohead;All I Need;0.67;0.478;4;-8.689;0;0.0355;0.531;0.428;0.138;0.0997;88.014;228747;4
2rtGaCAeYtmcIvuZsvgTf6;spotify:track:2rtGaCAeYtmcIvuZsvgTf6;Radiohead;How to Disappear Completely;0.167;0.302;6;-11.644;0;0.0345;0.316;0.797;0.11;0.19;102.026;356333;4
4oXg7xT4ksBxHTx8PcmSXw;spotify:track:4oXg7xT4ksBxHTx8PcmSXw;Radiohead;15 Step;0.598;0.854;1;-7.584;1;0.0422;0.0477;0.338;0.0934;0.844;94.458;237293;4
48X4D1FYOShPz2VF3YdfCF;spotify:track:48X4D1FYOShPz2VF3YdfCF;Radiohead;House Of Cards;0.708;0.499;5;-9.644;1;0.0297;0.269;0.57;0.101;0.628;111.652;328293;4
0jyikFM0Umv0KlnrOEKtTG;spotify:track:0jyikFM0Umv0KlnrOEKtTG;Radiohead;My Iron Lung;0.242;0.859;0;-8.41;1;0.0663;0.0565;0.114;0.38;0.672;96.917;276427;4
55q3Ro66yXWi9rsEddeEN4;spotify:track:55q3Ro66yXWi9rsEddeEN4;Radiohead;Pyramid Song;0.12;0.336;11;-8.298;0;0.0352;0.786;0.404;0.111;0.0679;72.64;288733;4
2CVV8PtUYYsux8XOzWkCP0;spotify:track:2CVV8PtUYYsux8XOzWkCP0;Radiohead;Subterranean Homesick Alien;0.312;0.595;0;-8.919;1;0.0298;0.0484;0.00139;0.103;0.337;150.502;267693;3
7oDFvnqXkXuiZa1sACXobj;spotify:track:7oDFvnqXkXuiZa1sACXobj;Radiohead;The Bends;0.23;0.755;7;-8.065;1;0.0658;0.0115;0.141;0.363;0.312;91.608;246200;4
4pWIwnnqx8k01fuF95UMIg;spotify:track:4pWIwnnqx8k01fuF95UMIg;Radiohead;Bodysnatchers;0.342;0.976;2;-4.986;1;0.0573;0.00443;0.0175;0.0974;0.733;166.663;242293;4
6UO72VSXEONxdfLyABihs9;spotify:track:6UO72VSXEONxdfLyABihs9;Radiohead;Black Star;0.289;0.555;7;-7.434;1;0.0402;0.00312;0.0496;0.27;0.306;158.671;247040;4
7c378mlmubSu7NGkLFa4sN;spotify:track:7c378mlmubSu7NGkLFa4sN;Radiohead;Airbag;0.305;0.872;2;-7.313;1;0.0503;0.00786;0.8;0.261;0.648;167.959;287880;4
5h4y42RUKwYKYWgutNwvKP;spotify:track:5h4y42RUKwYKYWgutNwvKP;Radiohead;There, There;0.614;0.677;9;-8.317;0;0.0323;0.0193;0.52;0.108;0.716;126.482;323600;4
5iFhkFf9JLA3XiROdYsg1i;spotify:track:5iFhkFf9JLA3XiROdYsg1i;Vitas;7 элемент;0.717;0.8;5;-5.794;0;0.0497;0.371;0.158;0.327;0.954;129.642;250000;4
6se25Ad9jwQhiWhbVSqRs3;spotify:track:6se25Ad9jwQhiWhbVSqRs3;Vitas;7th Element - Chilx and Mat1ne remix;0.82;0.803;5;-4.474;0;0.0942;0.0107;0.715;0.0558;0.958;126.024;312381;4
19wgIwKRVTuKbKJB0lnCG5;spotify:track:19wgIwKRVTuKbKJB0lnCG5;Vitas;The King;0.797;0.656;5;-5.74;1;0.0948;0.0961;0.49;0.0461;0.344;149.998;153200;4
1N3lJB2qqQAuxqOdsu1Tty;spotify:track:1N3lJB2qqQAuxqOdsu1Tty;Vitas;7 Element - Blblbl Festival Radio Remix;0.84;0.73;1;-6.387;1;0.0594;0.157;0.677;0.705;0.763;125.994;185287;4
2fKog3E5P7HVQZs2sQMFrO;spotify:track:2fKog3E5P7HVQZs2sQMFrO;Vitas;Опера #2;0.695;0.414;5;-8.661;0;0.0304;0.0244;0.000192;0.0725;0.544;99.714;195000;4
4zdsBics0asw0gj4L5wu5v;spotify:track:4zdsBics0asw0gj4L5wu5v;Vitas;Vitamin C;0.629;0.653;4;-12.578;0;0.0448;0.00615;0.734;0.143;0.853;117.13;212000;4
